canonical_player_id,canonical_handle,observed_handle,platform,platform_id,valid_from,valid_to,evidence_group_id,resolution_method,review_status
epic:97c1b0d892114aaaa5b8e38f858d7da7,saizen,17saizen,epic,97c1b0d892114aaaa5b8e38f858d7da7,2025-01-01,2025-12-31,rlcs2025-alias-review-saizen,reviewed_official_series_roster,frozen
epic:97c1b0d892114aaaa5b8e38f858d7da7,saizen,saizenrl,epic,97c1b0d892114aaaa5b8e38f858d7da7,2025-01-01,2025-12-31,rlcs2025-alias-review-saizen,reviewed_official_series_roster,frozen
steam:76561198138191833,eekso,eek$o,steam,76561198138191833,2025-01-01,2025-12-31,rlcs2025-alias-review-eekso,reviewed_official_series_roster,frozen
steam:76561198138191833,eekso,eekso,steam,76561198138191833,2025-01-01,2025-12-31,rlcs2025-alias-review-eekso,reviewed_official_series_roster,frozen
steam:76561198138191833,eekso,eeksoszn,steam,76561198138191833,2025-01-01,2025-12-31,rlcs2025-alias-review-eekso,reviewed_official_series_roster,frozen
steam:76561198153124313,gyro,gyro,steam,76561198153124313,2025-01-01,2025-12-31,rlcs2025-alias-review-gyro,reviewed_official_series_roster,frozen
steam:76561198153124313,gyro,gyro.,steam,76561198153124313,2025-01-01,2025-12-31,rlcs2025-alias-review-gyro,reviewed_official_series_roster,frozen
steam:76561198164765910,acronik.,acro,steam,76561198164765910,2025-01-01,2025-12-31,rlcs2025-alias-review-acronik,reviewed_official_series_roster,frozen
steam:76561198164765910,acronik.,acro.,steam,76561198164765910,2025-01-01,2025-12-31,rlcs2025-alias-review-acronik,reviewed_official_series_roster,frozen
steam:76561198164765910,acronik.,acronik.,steam,76561198164765910,2025-01-01,2025-12-31,rlcs2025-alias-review-acronik,reviewed_official_series_roster,frozen
steam:76561198164765910,acronik.,acronik. ツ,steam,76561198164765910,2025-01-01,2025-12-31,rlcs2025-alias-review-acronik,reviewed_official_series_roster,frozen
steam:76561198164765910,acronik.,b,steam,76561198164765910,2025-01-01,2025-12-31,rlcs2025-alias-review-acronik,reviewed_official_series_roster,frozen
steam:76561198192316061,majicbear,Maji¢bear !,steam,76561198192316061,2025-01-01,2025-12-31,rlcs2025-alias-review-majicbear,reviewed_official_series_roster,frozen
steam:76561198192316061,majicbear,majicbear,steam,76561198192316061,2025-01-01,2025-12-31,rlcs2025-alias-review-majicbear,reviewed_official_series_roster,frozen
steam:76561198192316061,majicbear,majicbear !,steam,76561198192316061,2025-01-01,2025-12-31,rlcs2025-alias-review-majicbear,reviewed_official_series_roster,frozen
steam:76561198192316061,majicbear,majicbear !?,steam,76561198192316061,2025-01-01,2025-12-31,rlcs2025-alias-review-majicbear,reviewed_official_series_roster,frozen
steam:76561198192316061,majicbear,majicbear.,steam,76561198192316061,2025-01-01,2025-12-31,rlcs2025-alias-review-majicbear,reviewed_official_series_roster,frozen
steam:76561198224723032,kxfyr,kxfyr,steam,76561198224723032,2025-01-01,2025-12-31,rlcs2025-alias-review-kxfyr,reviewed_official_series_roster,frozen
steam:76561198224723032,kxfyr,kxfyr BUYSSGBUNDLE,steam,76561198224723032,2025-01-01,2025-12-31,rlcs2025-alias-review-kxfyr,reviewed_official_series_roster,frozen
steam:76561198224723032,kxfyr,kxfyr(?),steam,76561198224723032,2025-01-01,2025-12-31,rlcs2025-alias-review-kxfyr,reviewed_official_series_roster,frozen
steam:76561198276743386,matt,matt,steam,76561198276743386,2025-01-01,2025-12-31,rlcs2025-alias-review-matt,reviewed_official_series_roster,frozen
steam:76561198276743386,matt,matt.,steam,76561198276743386,2025-01-01,2025-12-31,rlcs2025-alias-review-matt,reviewed_official_series_roster,frozen
steam:76561198289610054,atow,Atow Rikow !,steam,76561198289610054,2025-01-01,2025-12-31,rlcs2025-alias-review-atow,reviewed_official_series_roster,frozen
steam:76561198289610054,atow,atow.,steam,76561198289610054,2025-01-01,2025-12-31,rlcs2025-alias-review-atow,reviewed_official_series_roster,frozen
steam:76561198324207671,simas,.$imas,steam,76561198324207671,2025-01-01,2025-12-31,rlcs2025-alias-review-simas,reviewed_official_series_roster,frozen
steam:76561198324207671,simas,.simas,steam,76561198324207671,2025-01-01,2025-12-31,rlcs2025-alias-review-simas,reviewed_official_series_roster,frozen
steam:76561198324207671,simas,simas,steam,76561198324207671,2025-01-01,2025-12-31,rlcs2025-alias-review-simas,reviewed_official_series_roster,frozen
steam:76561198324207671,simas,simas -iwnl-,steam,76561198324207671,2025-01-01,2025-12-31,rlcs2025-alias-review-simas,reviewed_official_series_roster,frozen
steam:76561198351218981,frosty,frosty,steam,76561198351218981,2025-01-01,2025-12-31,rlcs2025-alias-review-frosty,reviewed_official_series_roster,frozen
steam:76561198351218981,frosty,frosty †,steam,76561198351218981,2025-01-01,2025-12-31,rlcs2025-alias-review-frosty,reviewed_official_series_roster,frozen
steam:76561198353975600,retals,retal$,steam,76561198353975600,2025-01-01,2025-12-31,rlcs2025-alias-review-retals,reviewed_official_series_roster,frozen
steam:76561198353975600,retals,retals,steam,76561198353975600,2025-01-01,2025-12-31,rlcs2025-alias-review-retals,reviewed_official_series_roster,frozen
steam:76561198358953540,life,life,steam,76561198358953540,2025-01-01,2025-12-31,rlcs2025-alias-review-life,reviewed_official_series_roster,frozen
steam:76561198358953540,life,life (made day 4),steam,76561198358953540,2025-01-01,2025-12-31,rlcs2025-alias-review-life,reviewed_official_series_roster,frozen
steam:76561198358953540,life,life^^,steam,76561198358953540,2025-01-01,2025-12-31,rlcs2025-alias-review-life,reviewed_official_series_roster,frozen
steam:76561198359368349,aqua,ahyqua,steam,76561198359368349,2025-01-01,2025-12-31,rlcs2025-alias-review-aqua,reviewed_official_series_roster,frozen
steam:76561198359368349,aqua,aqua,steam,76561198359368349,2025-01-01,2025-12-31,rlcs2025-alias-review-aqua,reviewed_official_series_roster,frozen
steam:76561198381037239,oski,oski,steam,76561198381037239,2025-01-01,2025-12-31,rlcs2025-alias-review-oski,reviewed_official_series_roster,frozen
steam:76561198381037239,oski,oski.,steam,76561198381037239,2025-01-01,2025-12-31,rlcs2025-alias-review-oski,reviewed_official_series_roster,frozen
steam:76561198801362445,charlieb,cb,steam,76561198801362445,2025-01-01,2025-12-31,rlcs2025-alias-review-charlieb,reviewed_official_series_roster,frozen
steam:76561198801362445,charlieb,charlieb,steam,76561198801362445,2025-01-01,2025-12-31,rlcs2025-alias-review-charlieb,reviewed_official_series_roster,frozen
steam:76561198807532049,joyo,goyo,steam,76561198807532049,2025-01-01,2025-12-31,rlcs2025-alias-review-joyo,reviewed_official_series_roster,frozen
steam:76561198807532049,joyo,joyo,steam,76561198807532049,2025-01-01,2025-12-31,rlcs2025-alias-review-joyo,reviewed_official_series_roster,frozen
steam:76561198843262824,archie,$ARCHIE,steam,76561198843262824,2025-01-01,2025-12-31,rlcs2025-alias-review-archie,reviewed_official_series_roster,frozen
steam:76561198843262824,archie,archie,steam,76561198843262824,2025-01-01,2025-12-31,rlcs2025-alias-review-archie,reviewed_official_series_roster,frozen
steam:76561198843262824,archie,ARCHIE$,steam,76561198843262824,2025-01-01,2025-12-31,rlcs2025-alias-review-archie,reviewed_official_series_roster,frozen
steam:76561198845948731,crr,crr,steam,76561198845948731,2025-01-01,2025-12-31,rlcs2025-alias-review-crr,reviewed_official_series_roster,frozen
steam:76561198845948731,crr,crr.,steam,76561198845948731,2025-01-01,2025-12-31,rlcs2025-alias-review-crr,reviewed_official_series_roster,frozen
steam:76561198845948731,crr,crr^^,steam,76561198845948731,2025-01-01,2025-12-31,rlcs2025-alias-review-crr,reviewed_official_series_roster,frozen
steam:76561198845948731,crr,crr❄❄,steam,76561198845948731,2025-01-01,2025-12-31,rlcs2025-alias-review-crr,reviewed_official_series_roster,frozen
steam:76561198846224116,evoh,evoh,steam,76561198846224116,2025-01-01,2025-12-31,rlcs2025-alias-review-evoh,reviewed_official_series_roster,frozen
steam:76561198846224116,evoh,jordan,steam,76561198846224116,2025-01-01,2025-12-31,rlcs2025-alias-review-evoh,reviewed_official_series_roster,frozen
